compound,family,mechanism,Cn,phi_25C,phi_lo89,phi_hi89,phase
PFPrS,PFSA,離子,3,0.123,0.026,0.29,氣相主導
PFBA,PFCA,離子,4,0.191,0.083,0.35,氣相主導
PFBS,PFSA,離子,4,0.286,0.17,0.43,偏氣相
PFPeA,PFCA,離子,5,0.095,0.046,0.17,氣相主導
PFPeS,PFSA,離子,5,0.41,0.16,0.71,偏氣相
4:2 FTS,FTS,離子,6,0.537,0.16,0.87,偏粒相
HFPO-DA,PFECA-ether,離子,6,0.541,0.31,0.77,偏粒相
PFHxA,PFCA,離子,6,0.093,0.048,0.16,氣相主導
PFHxS,PFSA,離子,6,0.439,0.28,0.62,偏氣相
PFHpA,PFCA,離子,7,0.411,0.27,0.58,偏氣相
PFHpS,PFSA,離子,7,0.516,0.29,0.73,偏粒相
6:2 FTS,FTS,離子,8,0.909,0.84,0.96,粒相主導
PFOA,PFCA,離子,8,0.381,0.25,0.53,偏氣相
PFOS,PFSA,離子,8,0.664,0.52,0.8,偏粒相
PFNA,PFCA,離子,9,0.479,0.33,0.64,偏氣相
PFNS,PFSA,離子,9,0.632,0.28,0.9,偏粒相
8:2 FTS,FTS,離子,10,0.837,0.64,0.96,粒相主導
PFDA,PFCA,離子,10,0.559,0.4,0.71,偏粒相
PFDS,PFSA,離子,10,0.853,0.69,0.96,粒相主導
MeFOSAA,FOSAA,離子,11,0.626,0.28,0.89,偏粒相
PFUnDA,PFCA,離子,11,0.832,0.73,0.92,粒相主導
EtFOSAA,FOSAA,離子,12,0.713,0.36,0.93,偏粒相
PFDoDA,PFCA,離子,12,0.899,0.83,0.95,粒相主導
PFTriDA,PFCA,離子,13,0.909,0.84,0.96,粒相主導
PFTeDA,PFCA,離子,14,0.94,0.89,0.98,粒相主導
PFPeDA,PFCA,離子,15,0.892,0.7,0.98,粒相主導
PFHxDA,PFCA,離子,16,0.899,0.75,0.98,粒相主導
PFODA,PFCA,離子,18,0.94,0.8,0.99,粒相主導
4:2 FTOH,FTOH,中性,6,0.018,0.004,0.047,氣相主導
6:2 FTOH,FTOH,中性,8,0.005,0.002,0.01,氣相主導
FOSA,FOSA,中性,8,0.46,0.27,0.66,偏氣相
MeFOSA,FOSA,中性,9,0.069,0.025,0.14,氣相主導
8:2 FTOH,FTOH,中性,10,0.01,0.004,0.02,氣相主導
EtFOSA,FOSA,中性,10,0.046,0.016,0.093,氣相主導
MeFOSE,FOSE,中性,11,0.158,0.067,0.29,氣相主導
10:2 FTOH,FTOH,中性,12,0.019,0.007,0.039,氣相主導
EtFOSE,FOSE,中性,12,0.135,0.053,0.26,氣相主導
12:2 FTOH,FTOH,中性,14,0.024,0.007,0.057,氣相主導
