compound,temp_C,phi,phi_lo95,phi_hi95
10:2 FTOH,5.0,0.4705,0.0297,0.9578
10:2 FTOH,10.0,0.2952,0.0232,0.8046
10:2 FTOH,15.0,0.1396,0.0171,0.4364
10:2 FTOH,20.0,0.0524,0.0112,0.1462
10:2 FTOH,25.0,0.0193,0.0056,0.0477
10:2 FTOH,30.0,0.008,0.0016,0.0233
10:2 FTOH,35.0,0.0038,0.0003,0.0156
12:2 FTOH,5.0,0.4958,0.0309,0.9683
12:2 FTOH,10.0,0.3235,0.0236,0.8527
12:2 FTOH,15.0,0.1627,0.0175,0.5264
12:2 FTOH,20.0,0.0645,0.011,0.2057
12:2 FTOH,25.0,0.0243,0.0051,0.0738
12:2 FTOH,30.0,0.0101,0.0016,0.0348
12:2 FTOH,35.0,0.0049,0.0004,0.0213
4:2 FTOH,5.0,0.4285,0.0197,0.9531
4:2 FTOH,10.0,0.2612,0.0152,0.7989
4:2 FTOH,15.0,0.1228,0.0102,0.4574
4:2 FTOH,20.0,0.0474,0.006,0.1766
4:2 FTOH,25.0,0.0181,0.0026,0.0659
4:2 FTOH,30.0,0.0076,0.0008,0.0309
4:2 FTOH,35.0,0.0037,0.0002,0.0178
4:2 FTS,5.0,0.9372,0.5467,0.9996
4:2 FTS,10.0,0.9008,0.4423,0.998
4:2 FTS,15.0,0.8329,0.3325,0.9916
4:2 FTS,20.0,0.713,0.2181,0.9688
4:2 FTS,25.0,0.5368,0.1051,0.9137
4:2 FTS,30.0,0.3498,0.0368,0.8233
4:2 FTS,35.0,0.21,0.0108,0.7061
6:2 FTOH,5.0,0.2539,0.0076,0.8483
6:2 FTOH,10.0,0.1194,0.0058,0.4929
6:2 FTOH,15.0,0.0422,0.0044,0.1625
6:2 FTOH,20.0,0.0136,0.0029,0.0411
6:2 FTOH,25.0,0.0048,0.0014,0.012
6:2 FTOH,30.0,0.002,0.0004,0.0058
6:2 FTOH,35.0,0.001,0.0001,0.0039
6:2 FTS,5.0,0.9928,0.9519,0.9999
6:2 FTS,10.0,0.989,0.9396,0.9996
6:2 FTS,15.0,0.9807,0.923,0.9978
6:2 FTS,20.0,0.9606,0.8953,0.9902
6:2 FTS,25.0,0.9094,0.8124,0.967
6:2 FTS,30.0,0.789,0.5505,0.9343
6:2 FTS,35.0,0.5943,0.1916,0.905
8:2 FTOH,5.0,0.3601,0.0145,0.9199
8:2 FTOH,10.0,0.1971,0.0115,0.6756
8:2 FTOH,15.0,0.0802,0.0086,0.2839
8:2 FTOH,20.0,0.0275,0.0057,0.0784
8:2 FTOH,25.0,0.0099,0.0029,0.0235
8:2 FTOH,30.0,0.0041,0.0009,0.0119
8:2 FTOH,35.0,0.0019,0.0002,0.0079
8:2 FTS,5.0,0.9862,0.9081,0.9999
8:2 FTS,10.0,0.9786,0.8781,0.9995
8:2 FTS,15.0,0.962,0.8288,0.9976
8:2 FTS,20.0,0.9237,0.7491,0.9907
8:2 FTS,25.0,0.8368,0.5825,0.9696
8:2 FTS,30.0,0.6762,0.2931,0.9339
8:2 FTS,35.0,0.479,0.084,0.8911
EtFOSA,5.0,0.6175,0.0659,0.9815
EtFOSA,10.0,0.4504,0.054,0.9099
EtFOSA,15.0,0.2604,0.0402,0.6618
EtFOSA,20.0,0.1157,0.0269,0.3067
EtFOSA,25.0,0.046,0.0131,0.1175
EtFOSA,30.0,0.0195,0.0038,0.0572
EtFOSA,35.0,0.0094,0.0008,0.0397
EtFOSAA,5.0,0.9713,0.7931,0.9998
EtFOSAA,10.0,0.9542,0.7309,0.9992
EtFOSAA,15.0,0.9192,0.6329,0.9961
EtFOSAA,20.0,0.8469,0.4856,0.9838
EtFOSAA,25.0,0.7128,0.2787,0.9518
EtFOSAA,30.0,0.5237,0.1073,0.8999
EtFOSAA,35.0,0.3417,0.0305,0.8344
EtFOSE,5.0,0.7867,0.2015,0.9944
EtFOSE,10.0,0.67,0.1621,0.9722
EtFOSE,15.0,0.4934,0.1238,0.8698
EtFOSE,20.0,0.2873,0.0854,0.5986
EtFOSE,25.0,0.1348,0.043,0.2997
EtFOSE,30.0,0.0608,0.0127,0.1763
EtFOSE,35.0,0.03,0.0028,0.1265
FOSA,5.0,0.9361,0.6072,0.9991
FOSA,10.0,0.8971,0.5452,0.9953
FOSA,15.0,0.8205,0.4727,0.9753
FOSA,20.0,0.676,0.3807,0.8931
FOSA,25.0,0.4603,0.234,0.7093
FOSA,30.0,0.26,0.0819,0.5357
FOSA,35.0,0.1397,0.0182,0.4457
